date,pre_close,open,high,low,close,volume,amt,pct_chg
2019/3/28,3743.3878,3731.0612,3755.716,3710.0814,3728.3953,13327212900,1.72604E+11,-0.4005
2019/3/29,3728.3953,3739.7739,3876.379,3739.7739,3872.3412,21563910300,2.83022E+11,3.8608
2019/4/1,3872.3412,3901.1698,3982.9091,3901.1698,3973.928,27138270400,3.40799E+11,2.6234
2019/4/2,3973.928,3986.3443,3988.0975,3956.5059,3971.2852,22600034100,2.81892E+11,-0.0665
2019/4/3,3971.2852,3947.8697,4026.4972,3939.7837,4022.1566,23191736800,2.84826E+11,1.281
2019/4/4,4022.1566,4039.7415,4072.1138,4021.7055,4062.2309,26041093900,3.13539E+11,0.9963
2019/4/8,4062.2309,4097.1027,4122.6034,4017.4887,4057.2286,26750557600,3.2467E+11,-0.1231
2019/4/9,4057.2286,4063.8139,4084.243,4038.2825,4075.4301,18295680800,2.43188E+11,0.4486
2019/4/10,4075.4301,4062.4425,4115.378,4035.4741,4085.847,19468761300,2.78282E+11,0.2556
2019/4/11,4085.847,4083.4618,4097.1249,3990.239,3997.5778,16904964100,2.36259E+11,-2.1604
2019/4/12,3997.5778,3986.7822,4006.9335,3961.464,3988.6168,13586211800,1.78796E+11,-0.2242
2019/4/15,3988.6168,4056.4919,4085.3882,3974.2264,3975.5244,18264557100,2.36299E+11,-0.3282
2019/4/16,3975.5244,3958.0963,4085.7891,3943.4879,4085.7891,20204196600,2.50569E+11,2.7736
2019/4/17,4085.7891,4080.7172,4106.6158,4057.5032,4087.2398,18036711700,2.28824E+11,0.0355
2019/4/18,4087.2398,4085.1148,4094.0533,4056.2356,4072.0753,14656212300,1.87813E+11,-0.371
2019/4/19,4072.0753,4076.2953,4120.6356,4046.2042,4120.6078,15079491000,1.94702E+11,1.1918
2019/4/22,4120.6078,4125.9717,4126.0907,4015.4748,4025.6109,18935374500,2.44381E+11,-2.3054
2019/4/23,4025.6109,4021.6277,4061.0858,4005.2832,4019.0053,15561165000,2.04122E+11,-0.1641
2019/4/24,4019.0053,4033.6292,4044.3375,3967.8058,4030.0887,14549869500,1.86498E+11,0.2758
2019/4/25,4030.0887,4013.6027,4022.5631,3938.3251,3941.816,15972207100,1.97531E+11,-2.1903
2019/4/26,3941.816,3921.8909,3943.8331,3887.2525,3889.2748,14200806800,1.86572E+11,-1.3329
2019/4/29,3889.2748,3896.5824,3953.2288,3875.452,3900.3339,15387092700,2.03947E+11,0.2843
2019/4/30,3900.3339,3887.1799,3923.1082,3885.147,3913.211,11623337600,1.61666E+11,0.3302
2019/5/6,3913.211,3775.0765,3791.6119,3647.1405,3684.6168,19747288200,2.54115E+11,-5.8416
2019/5/7,3684.6168,3702.2656,3738.1767,3671.8341,3720.6684,13284765400,1.83659E+11,0.9784
2019/5/8,3720.6684,3648.5489,3722.9325,3642.4981,3667.4574,11286735500,1.45058E+11,-1.4301
2019/5/9,3667.4574,3637.346,3656.8966,3584.8227,3599.7001,10103739400,1.41829E+11,-1.8475
2019/5/10,3599.7001,3643.0557,3732.9238,3589.2906,3730.4513,14800384700,1.95067E+11,3.6323
2019/5/13,3730.4513,3675.7597,3702.9012,3658.0004,3668.7255,10339186000,1.35054E+11,-1.6546
2019/5/14,3668.7255,3630.4388,3683.2619,3630.4388,3645.1503,10231346000,1.35263E+11,-0.6426
2019/5/15,3645.1503,3674.9931,3741.0406,3674.9931,3727.0923,11016176900,1.52535E+11,2.248
2019/5/16,3727.0923,3720.039,3745.1405,3707.9032,3743.9635,11625827400,1.39852E+11,0.4527
2019/5/17,3743.9635,3744.8751,3745.3555,3637.5826,3648.7609,12845324500,1.54092E+11,-2.5428
2019/5/20,3648.7609,3635.7357,3644.5,3583.8324,3617.7924,10896347700,1.34194E+11,-0.8487
2019/5/21,3617.7924,3619.4369,3690.0884,3610.6817,3666.7762,11102292000,1.33071E+11,1.354
2019/5/22,3666.7762,3663.1533,3679.2727,3634.7479,3649.3796,9834612800,1.21775E+11,-0.4744
2019/5/23,3649.3796,3629.5284,3631.4743,3578.1129,3583.9646,9989778100,1.25612E+11,-1.7925
2019/5/24,3583.9646,3584.9016,3623.3904,3580.7853,3593.9139,8093404800,1.01337E+11,0.2776
2019/5/27,3593.9139,3592.6027,3648.0267,3556.2567,3637.1971,10883087100,1.33399E+11,1.2043
2019/5/28,3637.1971,3633.0182,3683.2306,3627.7878,3672.2605,11788624000,1.48966E+11,0.964
2019/5/29,3672.2605,3642.5415,3693.2273,3637.3481,3663.909,9335544100,1.20002E+11,-0.2274
2019/5/30,3663.909,3648.8495,3650.9718,3612.6248,3641.1833,9420256100,1.12864E+11,-0.6203
2019/5/31,3641.1833,3640.9963,3668.1796,3627.5448,3629.7893,8922226700,1.08264E+11,-0.3129
2019/6/3,3629.7893,3640.6126,3672.8136,3613.1274,3632.0127,10072318000,1.23902E+11,0.0613
2019/6/4,3632.0127,3632.5602,3636.128,3584.4612,3598.4666,8709709400,1.09467E+11,-0.9236
2019/6/5,3598.4666,3627.7947,3634.4536,3593.9515,3597.105,8864202000,1.14634E+11,-0.0378
2019/6/6,3597.105,3601.0356,3601.0356,3557.0167,3564.6778,8553440300,1.04367E+11,-0.9015
2019/6/10,3564.6778,3578.0084,3623.7301,3568.2787,3610.7435,9237506100,1.17347E+11,1.2923
2019/6/11,3610.7435,3617.5239,3723.1419,3617.5239,3719.2759,14348280600,1.80899E+11,3.0058
2019/6/12,3719.2759,3706.8635,3711.8793,3683.9394,3691.0957,11917885300,1.32296E+11,-0.7577
2019/6/13,3691.0957,3689.5834,3697.5917,3654.2742,3685.3933,9633171800,1.1046E+11,-0.1545
2019/6/14,3685.3933,3690.4763,3709.6521,3650.9096,3654.8799,10181700400,1.16584E+11,-0.828
